,執行單位,標案名稱,詳細連結
89,金門縣港務處,料羅港區港務消防分隊暨岸巡辦公廳舍工程-機電工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A26282A3B&iprjno=2O1R1S252426262C2B2C2E2J2M&iuid=3T3F4C4C3N4E3Q4A
90,金門縣港務處,料羅港外港區增設碼頭及外廓設施改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A26282A3B&iprjno=1P1Q232224242A292A2C2F2H&iuid=3T3F4C4C3N4E3Q4A
91,金門縣自來水廠,太湖污水系統新增污水抽水總站及壓力管線含改善等工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242927282A3A&iprjno=2O1R1S262427262B2B2C2E2N2R&iuid=3T3F4C4C3N4E3Q4A
92,金門縣農業試驗所,金門縣有機農業集團栽培區基礎環境改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024262C282A35&iprjno=2O1R1S272426262G2B2C2F2H2R&iuid=3T3F4C4C3N4E3Q4A
93,金門縣金湖鎮公所,金湖鎮太湖路道路拓寬改善第二期工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242428282A31&iprjno=1P1Q252029242A&iuid=3T3F4C4C3N4E3Q4A
94,金門縣金湖鎮公所,金湖鎮尚義機場遮陽棚新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242428282A31&iprjno=1P1Q252027262A&iuid=3T3F4C4C3N4E3Q4A
95,金門縣金湖鎮公所,金門縣金湖托育中心興建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242428282A31&iprjno=1P1Q252123262F&iuid=3T3F4C4C3N4E3Q4A
96,金門縣金湖鎮公所,金湖鎮塔后宗祠周邊環境改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242428282A31&iprjno=1P1Q2421222726&iuid=3T3F4C4C3N4E3Q4A
97,金門縣金湖鎮公所,108年度金湖零星工程(開口契約),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242428282A31&iprjno=1P1Q262023252F&iuid=3T3F4C4C3N4E3Q4A
98,金門縣金湖鎮公所,司法園區至環島北路道路工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242428282A31&iprjno=1P1Q242122242B&iuid=3T3F4C4C3N4E3Q4A
